fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,good_quality
8.081902389285975,0.7,0.0,1.9,0.076,21.70317814982537,34.0,0.9978,3.51,0.6704348185953433,10.535974432566517,0
10.811308002115341,0.88,0.0,2.6,0.098,41.82424437542238,67.0,0.9968,3.2,0.7719804242334727,11.510691202916265,0
8.122639149904627,0.76,0.04,2.3,0.092,18.50726440607487,54.0,0.997,3.26,0.7958949814251031,11.745598460701677,0
10.578598500076758,0.28,0.56,1.9,0.075,20.973438680737274,60.0,0.998,3.16,0.6786266756950874,10.329976196823914,1
8.925191671087436,0.7,0.0,1.9,0.076,14.586744597268405,34.0,0.9978,3.51,0.8913237060001749,10.376422657972112,0
8.290781921027294,0.66,0.0,1.8,0.075,13.635284347094238,40.0,0.9978,3.51,0.39640286791191576,10.295618019253542,0
10.005215971064215,0.6,0.06,1.6,0.069,1.5059873645705864,59.0,0.9964,3.3,0.5215862812083981,11.52264155973114,0
9.135076427837497,0.65,0.0,1.2,0.065,31.320938421623637,21.0,0.9946,3.39,0.48759398053776754,10.161564939323759,1
9.148418515699166,0.58,0.02,2.0,0.073,24.200240539031697,18.0,0.9968,3.36,0.7353182044784955,9.956396053627236,1
8.807851067836786,0.5,0.36,6.1,0.071,12.616139865777944,102.0,0.9978,3.35,0.9460668473890276,10.640906566525688,0
7.067916705078842,0.58,0.08,1.8,0.097,19.786182358573654,65.0,0.9959,3.28,0.895584026036533,8.817083878519037,0
9.008969277248607,0.5,0.36,6.1,0.071,19.155571934466575,102.0,0.9978,3.35,1.2001913399586637,11.563781078313559,0
8.220398405041808,0.615,0.0,1.6,0.089,18.482456320166015,59.0,0.9943,3.58,0.5507711504522181,12.117695442311266,0
7.836985424626931,0.61,0.29,1.6,0.114,-0.5364887588760077,29.0,0.9974,3.26,1.6956733952828473,9.783319303125888,0
10.285359172813664,0.62,0.18,3.8,0.176,55.10060005598177,145.0,0.9986,3.16,1.0422255587065241,9.300687153382508,0
11.739224926017942,0.62,0.19,3.9,0.17,64.36992550222686,148.0,0.9986,3.17,0.9574175846671873,10.211838327095814,0
10.596870676736255,0.28,0.56,1.8,0.092,64.78624282945141,103.0,0.9969,3.3,0.9708176964380248,11.854777381473914,1
11.316811805321544,0.56,0.28,1.7,0.368,27.66711700908223,56.0,0.9968,3.11,1.3831270471369517,10.019229164228234,0
8.001524639584517,0.59,0.08,4.4,0.086,15.390870898206451,29.0,0.9974,3.38,0.49082833660767994,11.049095748070707,0
6.742841690626433,0.32,0.51,1.8,0.341,21.05489522918789,56.0,0.9969,3.04,1.1776945605958076,9.359967877101633,1
10.572360348176499,0.22,0.48,1.8,0.077,32.3451259807754,60.0,0.9968,3.39,0.5303153409207914,10.007882674593311,1
9.497893623384693,0.39,0.31,2.3,0.082,39.2964209739248,71.0,0.9982,3.52,0.9261806820373055,10.804873837325976,0
11.19892059576414,0.43,0.21,1.6,0.106,20.803534645251162,37.0,0.9966,3.17,1.303467636348838,10.68754905108265,0
11.54781798578012,0.49,0.11,2.3,0.084,12.049681858276397,67.0,0.9968,3.17,0.6988044577632921,10.292797623009633,0
9.04049493114657,0.4,0.14,2.4,0.085,20.81964852851948,40.0,0.9968,3.43,0.7806953347530959,9.462637531682814,1
8.758971521560644,0.39,0.16,1.4,0.08,18.014536189903545,23.0,0.9955,3.34,0.7162765892059806,12.14576843303967,0
8.725693346804984,0.41,0.24,1.8,0.08,7.902485371892892,11.0,0.9962,3.28,0.8859231192032723,10.151361674473186,0
7.594800285587305,0.43,0.21,1.6,0.106,18.321867729786966,37.0,0.9966,3.17,1.203002849522495,10.446540881387055,0
